ResponseID,Q,Q_group,A
r00396,Q28,G6,Others
r00396,Q18,G4,Others
r00396,Q10,G4,Others
r00396,Q9,G1,No
r00396,Q6,G1,N/A
r00396,Q8,G3,No
r00396,Q40,G1,No
r00396,Q11,G1,N/A
r00396,Q41,G2,Maybe
r00396,Q37,,Maybe
r00396,Q3,G5,No
r00396,Q1,G2,No
r00396,Q16,,No
r00396,Q35,G6,No
r00396,Q25,,No
r00396,Q4,,Others
r00396,Q23,G2,No
r00396,Q19,G2,Others
r00396,Q31,G2,Maybe
r00396,Q33,G3,Maybe
r00396,Q14,G5,Maybe
r00396,Q32,G3,Yes
r00396,Q38,G3,Maybe
r00396,Q13,G4,N/A
r00396,Q27,G4,N/A
r00397,Q34,G1,N/A
r00397,Q42,G1,No
r00397,Q20,G3,Yes
r00397,Q39,G1,N/A
r00397,Q5,G1,Yes
r00397,Q22,G4,Maybe
r00397,Q17,G2,Maybe
r00397,Q24,,Maybe
r00397,Q29,G5,Maybe
r00397,Q21,G2,No
r00397,Q36,,Yes
r00397,Q30,G3,No
r00397,Q7,G1,Others
r00397,Q2,G1,Others
r00397,Q15,G2,Others
r00397,Q12,G6,Others
r00397,Q26,G2,Others
r00397,Q28,G6,Others
r00397,Q18,G4,Others
r00397,Q10,G4,Others
r00397,Q9,G1,Others
r00397,Q6,G1,Others
r00397,Q8,G3,Others
r00397,Q40,G1,Others
r00397,Q11,G1,Others
r00397,Q41,G2,Others
r00397,Q37,,Others
r00397,Q3,G5,Others
r00397,Q1,G2,Others
r00397,Q16,,Others
r00397,Q35,G6,Others
r00397,Q25,,Yes
r00397,Q4,,Others
r00397,Q23,G2,No
r00397,Q19,G2,Others
r00397,Q31,G2,Maybe
r00397,Q33,G3,Yes
r00397,Q14,G5,Maybe
r00397,Q32,G3,No
r00397,Q38,G3,Others
r00397,Q13,G4,N/A
r00397,Q27,G4,N/A
r00398,Q34,G1,N/A
r00398,Q42,G1,N/A
r00398,Q20,G3,Yes
r00398,Q39,G1,Yes
r00398,Q5,G1,N/A
r00398,Q22,G4,Maybe
r00398,Q17,G2,No
r00398,Q24,,Maybe
r00398,Q29,G5,Maybe
r00398,Q21,G2,Maybe
r00398,Q36,,Yes
r00398,Q30,G3,No
r00398,Q7,G1,Others
r00398,Q2,G1,Others
r00398,Q15,G2,Others
r00398,Q12,G6,Others
r00398,Q26,G2,Others
r00398,Q28,G6,Others
r00398,Q18,G4,Others
r00398,Q10,G4,Others
r00398,Q9,G1,Maybe
r00398,Q6,G1,Maybe
r00398,Q8,G3,Maybe
r00398,Q40,G1,Maybe
r00398,Q11,G1,Maybe
r00398,Q41,G2,Maybe
r00398,Q37,,Maybe
r00398,Q3,G5,Maybe
r00398,Q1,G2,Maybe
r00398,Q16,,Maybe
r00398,Q35,G6,No
r00398,Q25,,Maybe
r00398,Q4,,Others
r00398,Q23,G2,No
r00398,Q19,G2,Others
r00398,Q31,G2,Maybe
r00398,Q33,G3,No
r00398,Q14,G5,Maybe
r00398,Q32,G3,No
r00398,Q38,G3,Others
r00398,Q13,G4,No
r00398,Q27,G4,Rare
r00399,Q34,G1,Others
r00399,Q42,G1,Others
r00399,Q20,G3,Others
r00399,Q39,G1,Others
r00399,Q5,G1,Others
r00399,Q22,G4,Others
r00399,Q17,G2,Others
r00399,Q24,,Others
r00399,Q29,G5,Others
r00399,Q21,G2,Others
r00399,Q36,,Others
r00399,Q30,G3,Others
r00399,Q7,G1,Yes
r00399,Q2,G1,Maybe
r00399,Q15,G2,No
r00399,Q12,G6,N/A
r00399,Q26,G2,Maybe
r00399,Q28,G6,No
r00399,Q18,G4,Yes
r00399,Q10,G4,Rare
r00399,Q9,G1,Maybe
r00399,Q6,G1,Maybe
r00399,Q8,G3,No
r00399,Q40,G1,Maybe
r00399,Q11,G1,N/A
r00399,Q41,G2,Maybe
r00399,Q37,,Maybe
r00399,Q3,G5,Maybe
r00399,Q1,G2,Maybe
r00399,Q16,,No
r00399,Q35,G6,Maybe
r00399,Q25,,No
r00399,Q4,,Others
r00399,Q23,G2,No
r00399,Q19,G2,Others
r00399,Q31,G2,Others
r00399,Q33,G3,Maybe
r00399,Q14,G5,Neutral
r00399,Q32,G3,Yes
r00399,Q38,G3,No
r00399,Q13,G4,Maybe
r00399,Q27,G4,Often
r00400,Q34,G1,Yes
r00400,Q42,G1,N/A
r00400,Q20,G3,No
r00400,Q39,G1,N/A
r00400,Q5,G1,Yes
r00400,Q22,G4,Maybe
r00400,Q17,G2,Maybe
r00400,Q24,,No
r00400,Q29,G5,Maybe
r00400,Q21,G2,Maybe
r00400,Q36,,N/A
r00400,Q30,G3,No
r00400,Q7,G1,Others
r00400,Q2,G1,Others
r00400,Q15,G2,Others
r00400,Q12,G6,Others
r00400,Q26,G2,Others
r00400,Q28,G6,Others
r00400,Q18,G4,Others
r00400,Q10,G4,Others
r00400,Q9,G1,Maybe
r00400,Q6,G1,N/A
r00400,Q8,G3,No
r00400,Q40,G1,No
r00400,Q11,G1,N/A
r00400,Q41,G2,Maybe
r00400,Q37,,Maybe
r00400,Q3,G5,Maybe
r00400,Q1,G2,No
r00400,Q16,,Maybe
r00400,Q35,G6,Maybe
r00400,Q25,,Yes
r00400,Q4,,Others
r00400,Q23,G2,Maybe
r00400,Q19,G2,Others
r00400,Q31,G2,Yes
r00400,Q33,G3,No
r00400,Q14,G5,Maybe
r00400,Q32,G3,Maybe
r00400,Q38,G3,Maybe
r00400,Q13,G4,N/A
r00400,Q27,G4,N/A
r00401,Q34,G1,Yes
r00401,Q42,G1,Yes
r00401,Q20,G3,No
r00401,Q39,G1,No
r00401,Q5,G1,Yes
r00401,Q22,G4,Yes
r00401,Q17,G2,Maybe
r00401,Q24,,No
r00401,Q29,G5,No
r00401,Q21,G2,Yes
r00401,Q36,,Yes
r00401,Q30,G3,No
r00401,Q7,G1,Others
r00401,Q2,G1,Others
r00401,Q15,G2,Others
r00401,Q12,G6,Others
r00401,Q26,G2,Others
r00401,Q28,G6,Others
r00401,Q18,G4,Others
r00401,Q10,G4,Others
r00401,Q9,G1,Yes
r00401,Q6,G1,Maybe
r00401,Q8,G3,Maybe
r00401,Q40,G1,Maybe
r00401,Q11,G1,N/A
r00401,Q41,G2,Maybe
r00401,Q37,,Maybe
r00401,Q3,G5,Maybe
r00401,Q1,G2,Maybe
r00401,Q16,,Maybe
r00401,Q35,G6,Maybe
r00401,Q25,,No
r00401,Q4,,Others
r00401,Q23,G2,No
r00401,Q19,G2,Others
r00401,Q31,G2,Yes
r00401,Q33,G3,No
r00401,Q14,G5,Maybe
r00401,Q32,G3,Yes
r00401,Q38,G3,No
r00401,Q13,G4,Rare
r00401,Q27,G4,Often
r00402,Q34,G1,No
r00402,Q42,G1,No
r00402,Q20,G3,No
r00402,Q39,G1,No
r00402,Q5,G1,N/A
r00402,Q22,G4,Maybe
r00402,Q17,G2,Maybe
r00402,Q24,,Maybe
r00402,Q29,G5,Yes
r00402,Q21,G2,Yes
r00402,Q36,,N/A
r00402,Q30,G3,No
r00402,Q7,G1,Others
r00402,Q2,G1,Others
r00402,Q15,G2,Others
r00402,Q12,G6,Others
r00402,Q26,G2,Others
r00402,Q28,G6,Others
r00402,Q18,G4,Others
r00402,Q10,G4,Others
r00402,Q9,G1,No
r00402,Q6,G1,Maybe
r00402,Q8,G3,No
r00402,Q40,G1,No
r00402,Q11,G1,N/A
r00402,Q41,G2,Yes
r00402,Q37,,Yes
r00402,Q3,G5,Maybe
r00402,Q1,G2,No
r00402,Q16,,No
r00402,Q35,G6,Yes
r00402,Q25,,Maybe
r00402,Q4,,Others
r00402,Q23,G2,Maybe
r00402,Q19,G2,Others
r00402,Q31,G2,Yes
r00402,Q33,G3,Maybe
r00402,Q14,G5,Maybe
r00402,Q32,G3,Yes
r00402,Q38,G3,Maybe
r00402,Q13,G4,Maybe
r00402,Q27,G4,Maybe
r00403,Q34,G1,Others
r00403,Q42,G1,Others
r00403,Q20,G3,Others
r00403,Q39,G1,Others
r00403,Q5,G1,Others
r00403,Q22,G4,Others
r00403,Q17,G2,Others
r00403,Q24,,Others
r00403,Q29,G5,Others
r00403,Q21,G2,Others
r00403,Q36,,Others
r00403,Q30,G3,Others
r00403,Q7,G1,No
r00403,Q2,G1,Yes
r00403,Q15,G2,No
r00403,Q12,G6,Others
r00403,Q26,G2,No
r00403,Q28,G6,N/A
r00403,Q18,G4,Yes
r00403,Q10,G4,Maybe
r00403,Q9,G1,Maybe
r00403,Q6,G1,Maybe
r00403,Q8,G3,No
r00403,Q40,G1,No
r00403,Q11,G1,N/A
r00403,Q41,G2,Maybe
r00403,Q37,,No
r00403,Q3,G5,Maybe
r00403,Q1,G2,No
r00403,Q16,,Maybe
r00403,Q35,G6,Maybe
r00403,Q25,,Yes
r00403,Q4,,Others
r00403,Q23,G2,Maybe
r00403,Q19,G2,Others
r00403,Q31,G2,Yes
r00403,Q33,G3,Yes
r00403,Q14,G5,N/A
r00403,Q32,G3,Others
r00403,Q38,G3,Others
r00403,Q13,G4,Rare
r00403,Q27,G4,Maybe
r00404,Q34,G1,N/A
r00404,Q42,G1,No
r00404,Q20,G3,Yes
r00404,Q39,G1,No
r00404,Q5,G1,N/A
r00404,Q22,G4,Yes
r00404,Q17,G2,Yes
r00404,Q24,,Maybe
r00404,Q29,G5,Maybe
r00404,Q21,G2,Maybe
r00404,Q36,,Yes
r00404,Q30,G3,No
r00404,Q7,G1,Others
r00404,Q2,G1,Others
r00404,Q15,G2,Others
r00404,Q12,G6,Others
r00404,Q26,G2,Others
r00404,Q28,G6,Others
r00404,Q18,G4,Others
r00404,Q10,G4,Others
r00404,Q9,G1,No
r00404,Q6,G1,No
r00404,Q8,G3,No
r00404,Q40,G1,No
r00404,Q11,G1,No
r00404,Q41,G2,No
r00404,Q37,,Maybe
r00404,Q3,G5,Maybe
r00404,Q1,G2,Maybe
r00404,Q16,,No
r00404,Q35,G6,Maybe
r00404,Q25,,Maybe
r00404,Q4,,Others
r00404,Q23,G2,No
r00404,Q19,G2,Others
r00404,Q31,G2,Yes
r00404,Q33,G3,Yes
r00404,Q14,G5,Maybe
r00404,Q32,G3,No
r00404,Q38,G3,Others
r00404,Q13,G4,No
r00404,Q27,G4,Often
r00405,Q34,G1,No
r00405,Q42,G1,N/A
r00405,Q20,G3,No
r00405,Q39,G1,No
r00405,Q5,G1,N/A
r00405,Q22,G4,Yes
r00405,Q17,G2,Maybe
r00405,Q24,,No
r00405,Q29,G5,Maybe
r00405,Q21,G2,Maybe
r00405,Q36,,N/A
r00405,Q30,G3,No
r00405,Q7,G1,Others
r00405,Q2,G1,Others
r00405,Q15,G2,Others
r00405,Q12,G6,Others
r00405,Q26,G2,Others
r00405,Q28,G6,Others
r00405,Q18,G4,Others
r00405,Q10,G4,Others
r00405,Q9,G1,No
r00405,Q6,G1,N/A
r00405,Q8,G3,No
r00405,Q40,G1,No
r00405,Q11,G1,N/A
r00405,Q41,G2,Maybe
r00405,Q37,,Maybe
r00405,Q3,G5,Maybe
r00405,Q1,G2,Maybe
r00405,Q16,,No
r00405,Q35,G6,No
r00405,Q25,,Maybe
r00405,Q4,,N/A
r00405,Q23,G2,No
r00405,Q19,G2,Others
r00405,Q31,G2,Yes
r00405,Q33,G3,Maybe
r00405,Q14,G5,Yes
r00405,Q32,G3,No
r00405,Q38,G3,Others
r00405,Q13,G4,N/A
r00405,Q27,G4,N/A
r00406,Q34,G1,Others
r00406,Q42,G1,Others
r00406,Q20,G3,Others
r00406,Q39,G1,Others
r00406,Q5,G1,Others
r00406,Q22,G4,Others
r00406,Q17,G2,Others
r00406,Q24,,Others
r00406,Q29,G5,Others
r00406,Q21,G2,Others
r00406,Q36,,Others
r00406,Q30,G3,Others
r00406,Q7,G1,No
r00406,Q2,G1,Maybe
r00406,Q15,G2,Maybe
r00406,Q12,G6,N/A
r00406,Q26,G2,N/A
r00406,Q28,G6,N/A
r00406,Q18,G4,Yes
r00406,Q10,G4,Maybe
r00406,Q9,G1,Maybe
r00406,Q6,G1,No
r00406,Q8,G3,No
r00406,Q40,G1,Maybe
r00406,Q11,G1,N/A
r00406,Q41,G2,N/A
r00406,Q37,,No
r00406,Q3,G5,Maybe
r00406,Q1,G2,Maybe
r00406,Q16,,N/A
r00406,Q35,G6,No
r00406,Q25,,Maybe
r00406,Q4,,Others
r00406,Q23,G2,Maybe
r00406,Q19,G2,Others
r00406,Q31,G2,Maybe
r00406,Q33,G3,Maybe
r00406,Q14,G5,Maybe
r00406,Q32,G3,No
r00406,Q38,G3,Others
r00406,Q13,G4,Maybe
r00406,Q27,G4,Maybe
r00407,Q34,G1,Yes
r00407,Q42,G1,Yes
r00407,Q20,G3,No
r00407,Q39,G1,N/A
r00407,Q5,G1,N/A
r00407,Q22,G4,N/A
r00407,Q17,G2,Maybe
r00407,Q24,,No
r00407,Q29,G5,Maybe
r00407,Q21,G2,Yes
r00407,Q36,,No
r00407,Q30,G3,No
r00407,Q7,G1,Others
r00407,Q2,G1,Others
r00407,Q15,G2,Others
r00407,Q12,G6,Others
r00407,Q26,G2,Others
r00407,Q28,G6,Others
r00407,Q18,G4,Others
r00407,Q10,G4,Others
r00407,Q9,G1,Yes
r00407,Q6,G1,Maybe
r00407,Q8,G3,Maybe
r00407,Q40,G1,Maybe
r00407,Q11,G1,N/A
r00407,Q41,G2,Maybe
r00407,Q37,,Maybe
r00407,Q3,G5,Maybe
r00407,Q1,G2,Yes
r00407,Q16,,Maybe
r00407,Q35,G6,No
r00407,Q25,,No
r00407,Q4,,Others
r00407,Q23,G2,No
r00407,Q19,G2,Others
r00407,Q31,G2,Yes
r00407,Q33,G3,Maybe
r00407,Q14,G5,Neutral
r00407,Q32,G3,Maybe
r00407,Q38,G3,Others
r00407,Q13,G4,Rare
r00407,Q27,G4,Often
r00408,Q34,G1,Yes
r00408,Q42,G1,No
r00408,Q20,G3,No
r00408,Q39,G1,No
r00408,Q5,G1,N/A
r00408,Q22,G4,N/A
r00408,Q17,G2,Maybe
r00408,Q24,,No
r00408,Q29,G5,No
r00408,Q21,G2,No
r00408,Q36,,N/A
r00408,Q30,G3,No
r00408,Q7,G1,Others
r00408,Q2,G1,Others
r00408,Q15,G2,Others
r00408,Q12,G6,Others
r00408,Q26,G2,Others
r00408,Q28,G6,Others
r00408,Q18,G4,Others
r00408,Q10,G4,Others
r00408,Q9,G1,Maybe
r00408,Q6,G1,Maybe
r00408,Q8,G3,No
r00408,Q40,G1,No
r00408,Q11,G1,N/A
r00408,Q41,G2,Maybe
r00408,Q37,,No
r00408,Q3,G5,Maybe
r00408,Q1,G2,Maybe
r00408,Q16,,No
r00408,Q35,G6,Maybe
r00408,Q25,,No
r00408,Q4,,Others
r00408,Q23,G2,No
r00408,Q19,G2,Others
r00408,Q31,G2,Yes
r00408,Q33,G3,Maybe
r00408,Q14,G5,N/A
r00408,Q32,G3,Yes
r00408,Q38,G3,Others
r00408,Q13,G4,N/A
r00408,Q27,G4,N/A
r00409,Q34,G1,Yes
r00409,Q42,G1,Yes
r00409,Q20,G3,No
r00409,Q39,G1,No
r00409,Q5,G1,N/A
r00409,Q22,G4,Maybe
r00409,Q17,G2,No
r00409,Q24,,No
r00409,Q29,G5,Yes
r00409,Q21,G2,Maybe
r00409,Q36,,N/A
r00409,Q30,G3,No
r00409,Q7,G1,Others
r00409,Q2,G1,Others
r00409,Q15,G2,Others
r00409,Q12,G6,Others
r00409,Q26,G2,Others
r00409,Q28,G6,Others
r00409,Q18,G4,Others
r00409,Q10,G4,Others
r00409,Q9,G1,Others
r00409,Q6,G1,Others
r00409,Q8,G3,Others
r00409,Q40,G1,Others
r00409,Q11,G1,Others
r00409,Q41,G2,Others
r00409,Q37,,Others
r00409,Q3,G5,Others
r00409,Q1,G2,Others
r00409,Q16,,Others
r00409,Q35,G6,Others
r00409,Q25,,No
r00409,Q4,,Others
r00409,Q23,G2,No
r00409,Q19,G2,Others
r00409,Q31,G2,Maybe
r00409,Q33,G3,No
r00409,Q14,G5,Maybe
r00409,Q32,G3,No
r00409,Q38,G3,Others
r00409,Q13,G4,No
r00409,Q27,G4,Often
r00410,Q34,G1,N/A
r00410,Q42,G1,No
r00410,Q20,G3,No
r00410,Q39,G1,N/A
r00410,Q5,G1,N/A
r00410,Q22,G4,Maybe
r00410,Q17,G2,Maybe
r00410,Q24,,Maybe
r00410,Q29,G5,No
r00410,Q21,G2,Maybe
r00410,Q36,,N/A
r00410,Q30,G3,No
r00410,Q7,G1,Others
r00410,Q2,G1,Others
r00410,Q15,G2,Others
r00410,Q12,G6,Others
r00410,Q26,G2,Others
r00410,Q28,G6,Others
r00410,Q18,G4,Others
r00410,Q10,G4,Others
r00410,Q9,G1,N/A
r00410,Q6,G1,N/A
r00410,Q8,G3,Maybe
r00410,Q40,G1,Maybe
r00410,Q11,G1,N/A
r00410,Q41,G2,Maybe
r00410,Q37,,Maybe
r00410,Q3,G5,No
r00410,Q1,G2,No
r00410,Q16,,N/A
r00410,Q35,G6,No
r00410,Q25,,Maybe
r00410,Q4,,Others
r00410,Q23,G2,No
r00410,Q19,G2,Others
r00410,Q31,G2,Maybe
r00410,Q33,G3,Maybe
r00410,Q14,G5,Neutral
r00410,Q32,G3,No
r00410,Q38,G3,Others
r00410,Q13,G4,No
r00410,Q27,G4,Rare
r00411,Q34,G1,Yes
r00411,Q42,G1,N/A
r00411,Q20,G3,Yes
r00411,Q39,G1,N/A
r00411,Q5,G1,N/A
r00411,Q22,G4,N/A
r00411,Q17,G2,Maybe
r00411,Q24,,No
r00411,Q29,G5,Maybe
r00411,Q21,G2,Yes
r00411,Q36,,N/A
r00411,Q30,G3,No
r00411,Q7,G1,Others
r00411,Q2,G1,Others
r00411,Q15,G2,Others
r00411,Q12,G6,Others
r00411,Q26,G2,Others
r00411,Q28,G6,Others
r00411,Q18,G4,Others
r00411,Q10,G4,Others
r00411,Q9,G1,Yes
r00411,Q6,G1,Maybe
r00411,Q8,G3,Maybe
r00411,Q40,G1,No
r00411,Q11,G1,N/A
r00411,Q41,G2,Maybe
r00411,Q37,,Maybe
r00411,Q3,G5,Maybe
r00411,Q1,G2,Maybe
r00411,Q16,,Maybe
r00411,Q35,G6,No
r00411,Q25,,Maybe
r00411,Q4,,Others
r00411,Q23,G2,No
r00411,Q19,G2,Others
r00411,Q31,G2,Yes
r00411,Q33,G3,Yes
r00411,Q14,G5,Maybe
r00411,Q32,G3,Yes
r00411,Q38,G3,Maybe
r00411,Q13,G4,Rare
r00411,Q27,G4,Maybe
r00412,Q34,G1,N/A
r00412,Q42,G1,N/A
r00412,Q20,G3,No
r00412,Q39,G1,No
r00412,Q5,G1,N/A
r00412,Q22,G4,Neutral
r00412,Q17,G2,No
r00412,Q24,,No
r00412,Q29,G5,Maybe
r00412,Q21,G2,Maybe
r00412,Q36,,No
r00412,Q30,G3,Yes
r00412,Q7,G1,Others
r00412,Q2,G1,Others
r00412,Q15,G2,Others
r00412,Q12,G6,Others
r00412,Q26,G2,Others
r00412,Q28,G6,Others
r00412,Q18,G4,Others
r00412,Q10,G4,Others
r00412,Q9,G1,No
r00412,Q6,G1,N/A
r00412,Q8,G3,No
r00412,Q40,G1,No
r00412,Q11,G1,N/A
r00412,Q41,G2,Maybe
r00412,Q37,,No
r00412,Q3,G5,Maybe
r00412,Q1,G2,No
r00412,Q16,,No
r00412,Q35,G6,Maybe
r00412,Q25,,Maybe
r00412,Q4,,Others
r00412,Q23,G2,No
r00412,Q19,G2,Others
r00412,Q31,G2,Maybe
r00412,Q33,G3,Maybe
r00412,Q14,G5,Neutral
r00412,Q32,G3,Maybe
r00412,Q38,G3,Yes
r00412,Q13,G4,Rare
r00412,Q27,G4,Maybe
r00413,Q34,G1,Others
r00413,Q42,G1,Others
r00413,Q20,G3,Others
r00413,Q39,G1,Others
r00413,Q5,G1,Others
r00413,Q22,G4,Others
r00413,Q17,G2,Others
r00413,Q24,,Others
r00413,Q29,G5,Others
r00413,Q21,G2,Others
r00413,Q36,,Others
r00413,Q30,G3,Others
r00413,Q7,G1,Yes
r00413,Q2,G1,No
r00413,Q15,G2,Maybe
r00413,Q12,G6,No
r00413,Q26,G2,Maybe
r00413,Q28,G6,No
r00413,Q18,G4,No
r00413,Q10,G4,Others
r00413,Q9,G1,No
r00413,Q6,G1,N/A
r00413,Q8,G3,No
r00413,Q40,G1,No
r00413,Q11,G1,N/A
r00413,Q41,G2,No
r00413,Q37,,Maybe
r00413,Q3,G5,Maybe
r00413,Q1,G2,Maybe
r00413,Q16,,N/A
r00413,Q35,G6,Maybe
r00413,Q25,,Maybe
r00413,Q4,,Others
r00413,Q23,G2,No
r00413,Q19,G2,Others
r00413,Q31,G2,Maybe
r00413,Q33,G3,Maybe
r00413,Q14,G5,Yes
r00413,Q32,G3,Maybe
r00413,Q38,G3,No
r00413,Q13,G4,Rare
r00413,Q27,G4,Rare
r00414,Q34,G1,Yes
r00414,Q42,G1,N/A
r00414,Q20,G3,Yes
r00414,Q39,G1,N/A
r00414,Q5,G1,Yes
r00414,Q22,G4,Yes
r00414,Q17,G2,No
r00414,Q24,,No
r00414,Q29,G5,Yes
r00414,Q21,G2,Yes
r00414,Q36,,Yes
r00414,Q30,G3,No
r00414,Q7,G1,Others
r00414,Q2,G1,Others
r00414,Q15,G2,Others
r00414,Q12,G6,Others
r00414,Q26,G2,Others
r00414,Q28,G6,Others
r00414,Q18,G4,Others
r00414,Q10,G4,Others
r00414,Q9,G1,N/A
r00414,Q6,G1,N/A
r00414,Q8,G3,Maybe
r00414,Q40,G1,No
r00414,Q11,G1,N/A
r00414,Q41,G2,N/A
r00414,Q37,,No
r00414,Q3,G5,Maybe
r00414,Q1,G2,Yes
r00414,Q16,,Maybe
r00414,Q35,G6,No
r00414,Q25,,Yes
r00414,Q4,,Others
r00414,Q23,G2,Maybe
r00414,Q19,G2,Others
r00414,Q31,G2,No
r00414,Q33,G3,Maybe
r00414,Q14,G5,Yes
r00414,Q32,G3,No
r00414,Q38,G3,Others
r00414,Q13,G4,No
r00414,Q27,G4,Maybe
r00415,Q34,G1,Yes
r00415,Q42,G1,N/A
r00415,Q20,G3,No
r00415,Q39,G1,Yes
r00415,Q5,G1,No
r00415,Q22,G4,Neutral
r00415,Q17,G2,No
r00415,Q24,,No
r00415,Q29,G5,Yes
r00415,Q21,G2,Yes
r00415,Q36,,Yes
r00415,Q30,G3,No
r00415,Q7,G1,Others
r00415,Q2,G1,Others
r00415,Q15,G2,Others
r00415,Q12,G6,Others
r00415,Q26,G2,Others
r00415,Q28,G6,Others
r00415,Q18,G4,Others
r00415,Q10,G4,Others
r00415,Q9,G1,Others
r00415,Q6,G1,Others
r00415,Q8,G3,Others
r00415,Q40,G1,Others
r00415,Q11,G1,Others
r00415,Q41,G2,Others
r00415,Q37,,Others
r00415,Q3,G5,Others
r00415,Q1,G2,Others
r00415,Q16,,Others
r00415,Q35,G6,Others
r00415,Q25,,Maybe
r00415,Q4,,Others
r00415,Q23,G2,Maybe
r00415,Q19,G2,Others
r00415,Q31,G2,No
r00415,Q33,G3,No
r00415,Q14,G5,Maybe
r00415,Q32,G3,No
r00415,Q38,G3,Others
r00415,Q13,G4,Rare
r00415,Q27,G4,Maybe
r00416,Q34,G1,No
r00416,Q42,G1,No
r00416,Q20,G3,Yes
r00416,Q39,G1,No
r00416,Q5,G1,N/A
r00416,Q22,G4,No
r00416,Q17,G2,No
r00416,Q24,,No
r00416,Q29,G5,Yes
r00416,Q21,G2,Yes
r00416,Q36,,Yes
r00416,Q30,G3,No
r00416,Q7,G1,Others
r00416,Q2,G1,Others
r00416,Q15,G2,Others
r00416,Q12,G6,Others
r00416,Q26,G2,Others
r00416,Q28,G6,Others
r00416,Q18,G4,Others
r00416,Q10,G4,Others
r00416,Q9,G1,Maybe
r00416,Q6,G1,No
r00416,Q8,G3,No
r00416,Q40,G1,No
r00416,Q11,G1,Yes
r00416,Q41,G2,Maybe
r00416,Q37,,No
r00416,Q3,G5,No
r00416,Q1,G2,No
r00416,Q16,,No
r00416,Q35,G6,Yes
r00416,Q25,,Yes
r00416,Q4,,Others
r00416,Q23,G2,No
r00416,Q19,G2,Others
r00416,Q31,G2,Yes
r00416,Q33,G3,No
r00416,Q14,G5,Maybe
r00416,Q32,G3,No
r00416,Q38,G3,Others
r00416,Q13,G4,Maybe
r00416,Q27,G4,Maybe
r00417,Q34,G1,Others
r00417,Q42,G1,Others
r00417,Q20,G3,Others
r00417,Q39,G1,Others
r00417,Q5,G1,Others
r00417,Q22,G4,Others
r00417,Q17,G2,Others
r00417,Q24,,Others
r00417,Q29,G5,Others
r00417,Q21,G2,Others
r00417,Q36,,Others
r00417,Q30,G3,Others
r00417,Q7,G1,No
r00417,Q2,G1,Yes
r00417,Q15,G2,Maybe
r00417,Q12,G6,No
r00417,Q26,G2,Maybe
r00417,Q28,G6,No
r00417,Q18,G4,Yes
r00417,Q10,G4,Rare
r00417,Q9,G1,N/A
r00417,Q6,G1,N/A
r00417,Q8,G3,No
r00417,Q40,G1,No
r00417,Q11,G1,N/A
r00417,Q41,G2,No
r00417,Q37,,No
r00417,Q3,G5,Maybe
r00417,Q1,G2,Maybe
r00417,Q16,,Maybe
r00417,Q35,G6,Maybe
r00417,Q25,,Maybe
r00417,Q4,,Others
r00417,Q23,G2,No
r00417,Q19,G2,Others
r00417,Q31,G2,No
r00417,Q33,G3,Maybe
r00417,Q14,G5,Maybe
r00417,Q32,G3,No
r00417,Q38,G3,Others
r00417,Q13,G4,Maybe
r00417,Q27,G4,Often
r00418,Q34,G1,Others
r00418,Q42,G1,Others
r00418,Q20,G3,Others
r00418,Q39,G1,Others
r00418,Q5,G1,Others
r00418,Q22,G4,Others
r00418,Q17,G2,Others
r00418,Q24,,Others
r00418,Q29,G5,Others
r00418,Q21,G2,Others
r00418,Q36,,Others
r00418,Q30,G3,Others
r00418,Q7,G1,Yes
r00418,Q2,G1,Yes
r00418,Q15,G2,No
r00418,Q12,G6,No
r00418,Q26,G2,No
r00418,Q28,G6,N/A
r00418,Q18,G4,No
r00418,Q10,G4,Others
r00418,Q9,G1,Yes
r00418,Q6,G1,Yes
r00418,Q8,G3,No
r00418,Q40,G1,No
r00418,Q11,G1,N/A
r00418,Q41,G2,Yes
r00418,Q37,,Maybe
r00418,Q3,G5,No
r00418,Q1,G2,No
r00418,Q16,,No
r00418,Q35,G6,No
r00418,Q25,,No
r00418,Q4,,Others
r00418,Q23,G2,No
r00418,Q19,G2,Others
r00418,Q31,G2,Yes
r00418,Q33,G3,Yes
r00418,Q14,G5,Maybe
r00418,Q32,G3,Maybe
r00418,Q38,G3,Maybe
r00418,Q13,G4,No
r00418,Q27,G4,Often
r00419,Q34,G1,N/A
r00419,Q42,G1,No
r00419,Q20,G3,No
r00419,Q39,G1,No
r00419,Q5,G1,N/A
r00419,Q22,G4,N/A
r00419,Q17,G2,No
r00419,Q24,,No
r00419,Q29,G5,Maybe
r00419,Q21,G2,Yes
r00419,Q36,,N/A
r00419,Q30,G3,No
r00419,Q7,G1,Others
r00419,Q2,G1,Others
r00419,Q15,G2,Others
r00419,Q12,G6,Others
r00419,Q26,G2,Others
r00419,Q28,G6,Others
r00419,Q18,G4,Others
r00419,Q10,G4,Others
r00419,Q9,G1,N/A
r00419,Q6,G1,N/A
r00419,Q8,G3,No
r00419,Q40,G1,No
r00419,Q11,G1,N/A
r00419,Q41,G2,Maybe
r00419,Q37,,No
r00419,Q3,G5,Maybe
r00419,Q1,G2,Maybe
r00419,Q16,,Maybe
r00419,Q35,G6,No
r00419,Q25,,Yes
r00419,Q4,,Others
r00419,Q23,G2,Maybe
r00419,Q19,G2,Others
r00419,Q31,G2,Maybe
r00419,Q33,G3,Maybe
r00419,Q14,G5,Yes
