ResponseID	Which of the following best describes your work position
r00613	Back-end Developer
r00613	DevOps/SysAdmin
r00614	One-person shop
r00614	Back-end Developer
r00615	Other
r00616	Front-end Developer
r00617	Other
r00618	Support
r00619	One-person shop
r00619	Back-end Developer
r00619	Sales
r00619	Support
r00619	Supervisor/Team Lead
r00619	Executive Leadership
r00620	Back-end Developer
r00621	Front-end Developer
r00621	Back-end Developer
r00621	Support
r00622	DevOps/SysAdmin
r00622	Support
r00623	One-person shop
r00624	Designer
r00625	Back-end Developer
r00625	Front-end Developer
r00626	DevOps/SysAdmin
r00627	Back-end Developer
r00628	Supervisor/Team Lead
r00629	Front-end Developer
r00629	Back-end Developer
r00630	Front-end Developer
r00630	Back-end Developer
r00630	DevOps/SysAdmin
r00631	Front-end Developer
r00632	Other
r00633	Other
r00634	Back-end Developer
r00635	DevOps/SysAdmin
r00635	Support
r00635	Back-end Developer
r00636	Executive Leadership
r00637	Back-end Developer
r00638	Executive Leadership
r00639	Back-end Developer
r00639	One-person shop
r00640	Back-end Developer
r00640	DevOps/SysAdmin
r00641	Back-end Developer
r00641	Supervisor/Team Lead
r00642	DevOps/SysAdmin
r00643	Other
r00644	Front-end Developer
r00644	Back-end Developer
r00644	Supervisor/Team Lead
r00645	Back-end Developer
r00646	Designer
r00646	Front-end Developer
r00646	Back-end Developer
r00646	Support
r00646	DevOps/SysAdmin
r00646	Supervisor/Team Lead
r00647	One-person shop
r00648	Other
r00648	Supervisor/Team Lead
r00648	Dev Evangelist/Advocate
r00648	DevOps/SysAdmin
r00648	Support
r00648	Back-end Developer
r00649	Back-end Developer
r00650	Front-end Developer
r00650	Designer
r00651	DevOps/SysAdmin
r00651	Back-end Developer
r00651	Front-end Developer
r00652	Front-end Developer
r00653	Front-end Developer
r00654	DevOps/SysAdmin
r00654	Support
r00655	Back-end Developer
r00656	Back-end Developer
r00657	Executive Leadership
r00657	Supervisor/Team Lead
r00658	Back-end Developer
r00659	Executive Leadership
r00659	Supervisor/Team Lead
r00659	Sales
r00660	Back-end Developer
r00661	Other
r00661	Front-end Developer
r00661	Designer
r00662	Front-end Developer
r00663	Other
r00664	Back-end Developer
r00665	Supervisor/Team Lead
r00665	Back-end Developer
r00666	Back-end Developer
r00666	Front-end Developer
r00667	Back-end Developer
r00667	Front-end Developer
r00668	One-person shop
r00668	Designer
r00668	Front-end Developer
r00668	Supervisor/Team Lead
r00669	Front-end Developer
r00670	Designer
r00670	Front-end Developer
r00671	DevOps/SysAdmin
r00671	One-person shop
r00672	Supervisor/Team Lead
r00672	DevOps/SysAdmin
r00672	Back-end Developer
r00673	Designer
r00673	Front-end Developer
r00673	Back-end Developer
r00673	DevOps/SysAdmin
r00673	Other
r00674	Support
r00675	Other
r00675	Dev Evangelist/Advocate
r00675	Back-end Developer
r00675	Front-end Developer
r00676	Designer
r00677	Back-end Developer
r00678	Back-end Developer
r00678	Front-end Developer
r00679	Other
r00680	Other
r00681	Front-end Developer
r00682	One-person shop
r00683	Supervisor/Team Lead
r00683	Front-end Developer
r00684	Executive Leadership
r00685	Back-end Developer
r00686	Other
r00687	Other
r00688	Back-end Developer
r00688	DevOps/SysAdmin
r00689	Front-end Developer
r00690	Designer
r00691	Front-end Developer
r00691	Back-end Developer
r00691	DevOps/SysAdmin
r00691	Supervisor/Team Lead
r00692	Other
r00693	Supervisor/Team Lead
r00693	Back-end Developer
r00694	Supervisor/Team Lead
r00694	Support
r00695	DevOps/SysAdmin
r00695	Other
r00696	Designer
r00697	Other
r00698	Other
r00698	Executive Leadership
r00698	Supervisor/Team Lead
r00698	HR
r00698	Support
r00698	Sales
r00698	Designer
r00698	One-person shop
r00699	Front-end Developer
r00700	One-person shop
r00701	Front-end Developer
r00702	Back-end Developer
r00702	Support
r00702	DevOps/SysAdmin
r00703	Front-end Developer
r00703	Back-end Developer
r00703	DevOps/SysAdmin
r00704	Front-end Developer
r00705	Executive Leadership
r00706	Front-end Developer
r00706	Back-end Developer
r00706	DevOps/SysAdmin
r00707	Front-end Developer
r00708	One-person shop
r00709	Supervisor/Team Lead
r00709	Designer
r00709	Front-end Developer
r00709	Support
r00710	Support
r00711	Back-end Developer
r00711	Front-end Developer
r00711	One-person shop
r00712	Front-end Developer
r00713	Other
r00714	Front-end Developer
r00715	Front-end Developer
r00715	Back-end Developer
r00716	Executive Leadership
r00716	One-person shop
r00716	Front-end Developer
r00716	Back-end Developer
r00716	Support
r00716	Supervisor/Team Lead
r00717	Supervisor/Team Lead
r00718	Other
r00719	Back-end Developer
r00720	Back-end Developer
r00720	Front-end Developer
r00721	Executive Leadership
r00721	Supervisor/Team Lead
r00721	Designer
r00722	Other
r00723	One-person shop
r00724	Other
r00725	Support
r00725	Front-end Developer
r00725	Designer
r00726	Other
r00726	Support
r00726	Back-end Developer
r00726	Front-end Developer
r00726	Designer
r00727	DevOps/SysAdmin
r00728	One-person shop
r00728	Designer
r00728	Front-end Developer
r00728	Back-end Developer
r00729	Other
r00730	Front-end Developer
r00731	Back-end Developer
r00732	Back-end Developer
r00733	Supervisor/Team Lead
r00734	Back-end Developer
r00735	One-person shop
r00736	Dev Evangelist/Advocate
r00736	DevOps/SysAdmin
r00736	Designer
r00736	Front-end Developer
r00736	Support
r00737	Other
r00737	Designer
r00737	Front-end Developer
r00738	Back-end Developer
r00739	Executive Leadership
r00740	Front-end Developer
r00741	Support
r00742	Other
r00742	Front-end Developer
r00743	Front-end Developer
r00743	One-person shop
r00744	Back-end Developer
r00745	Back-end Developer
r00746	Designer
r00746	Front-end Developer
r00746	Back-end Developer
r00746	Sales
r00746	Supervisor/Team Lead
r00747	Front-end Developer
r00747	Back-end Developer
r00747	Dev Evangelist/Advocate
r00748	Back-end Developer
r00748	One-person shop
r00749	One-person shop
r00750	Support
r00751	DevOps/SysAdmin
r00752	One-person shop
r00753	Supervisor/Team Lead
r00753	DevOps/SysAdmin
r00753	Back-end Developer
r00753	Support
r00754	Front-end Developer
r00754	Back-end Developer
r00754	Support
r00754	Supervisor/Team Lead
r00755	Other
r00756	Supervisor/Team Lead
r00757	Front-end Developer
r00758	Designer
r00759	Support
r00760	Supervisor/Team Lead
r00760	Front-end Developer
r00760	Back-end Developer
r00760	Dev Evangelist/Advocate
r00761	Designer
r00762	One-person shop
r00763	Support
r00763	Back-end Developer
r00764	Front-end Developer
r00764	Back-end Developer
r00764	DevOps/SysAdmin
r00765	Supervisor/Team Lead
r00765	DevOps/SysAdmin
r00765	Front-end Developer
r00765	Back-end Developer
r00766	DevOps/SysAdmin
r00766	Back-end Developer
r00766	Front-end Developer
r00766	One-person shop
r00767	Supervisor/Team Lead
r00768	Designer
r00769	One-person shop
r00769	Designer
r00770	Back-end Developer
r00771	Back-end Developer
r00772	Other
r00773	Dev Evangelist/Advocate
r00773	Back-end Developer
r00773	Front-end Developer
r00774	One-person shop
r00774	Front-end Developer
r00774	Back-end Developer
r00775	One-person shop
r00776	DevOps/SysAdmin
r00777	Executive Leadership
r00778	Support
r00779	Support
r00780	Front-end Developer
r00780	Designer
r00781	Support
r00782	Front-end Developer
r00783	Other
r00784	DevOps/SysAdmin
r00784	Support
r00784	Back-end Developer
r00784	One-person shop
r00785	Back-end Developer
r00786	DevOps/SysAdmin
r00786	Back-end Developer
r00787	Back-end Developer
r00788	One-person shop
r00788	Front-end Developer
r00788	Back-end Developer
r00788	DevOps/SysAdmin
r00788	Supervisor/Team Lead
r00789	One-person shop
r00790	Back-end Developer
r00791	Front-end Developer
r00791	Designer
r00792	Supervisor/Team Lead
r00793	Back-end Developer
r00794	Back-end Developer
r00795	Executive Leadership
r00796	Dev Evangelist/Advocate
r00796	Front-end Developer
r00796	Back-end Developer
r00796	DevOps/SysAdmin
r00797	DevOps/SysAdmin
r00797	Back-end Developer
r00797	Front-end Developer
r00798	Dev Evangelist/Advocate
r00799	DevOps/SysAdmin
r00799	Support
r00799	One-person shop
r00800	One-person shop
r00801	Executive Leadership
r00802	One-person shop
r00803	Designer
r00803	Support
r00803	Supervisor/Team Lead
r00804	Front-end Developer
r00804	Designer
r00805	Back-end Developer
r00806	Front-end Developer
r00807	Other
r00807	Supervisor/Team Lead
r00807	Dev Evangelist/Advocate
r00807	DevOps/SysAdmin
r00807	Support
r00807	Back-end Developer
r00807	Front-end Developer
r00807	Designer
r00807	One-person shop
r00808	Other
r00809	Back-end Developer
r00810	Front-end Developer
r00811	Support
r00812	Back-end Developer
r00812	Front-end Developer
r00813	Back-end Developer
r00813	DevOps/SysAdmin
r00813	Supervisor/Team Lead
r00814	Support
r00814	Designer
r00815	Back-end Developer
r00816	One-person shop
r00816	Other
r00817	Other
r00817	Supervisor/Team Lead
r00817	Back-end Developer
r00817	Front-end Developer
r00818	Support
r00819	Executive Leadership
r00819	Supervisor/Team Lead
r00819	Front-end Developer
r00819	Back-end Developer
r00820	Designer
r00820	Front-end Developer
r00820	Back-end Developer
r00820	Executive Leadership
r00820	Other
r00821	Designer
r00821	Front-end Developer
r00821	Back-end Developer
r00821	Supervisor/Team Lead
r00821	Executive Leadership
r00822	Supervisor/Team Lead
r00822	DevOps/SysAdmin
r00822	Support
r00822	Front-end Developer
r00822	Designer
r00822	One-person shop
r00823	One-person shop
r00824	Front-end Developer
r00824	Back-end Developer
r00824	DevOps/SysAdmin
r00824	Dev Evangelist/Advocate
r00825	Back-end Developer
r00826	Support
r00827	Support
r00828	DevOps/SysAdmin
r00828	Support
r00828	Back-end Developer
r00828	Front-end Developer
r00829	Executive Leadership
r00829	Supervisor/Team Lead
r00829	Back-end Developer
r00829	DevOps/SysAdmin
r00830	Front-end Developer
r00831	Back-end Developer
r00832	Supervisor/Team Lead
r00833	Support
r00833	Front-end Developer
r00833	Back-end Developer
r00834	Back-end Developer
r00835	Front-end Developer
r00835	Designer
r00836	Other
r00837	Back-end Developer
r00838	Supervisor/Team Lead
r00839	Front-end Developer
r00839	Back-end Developer
r00839	Sales
r00839	Support
r00839	DevOps/SysAdmin
r00839	Supervisor/Team Lead
r00839	Executive Leadership
r00840	One-person shop
r00840	Front-end Developer
r00840	Back-end Developer
r00840	Support
r00840	Other
r00841	Back-end Developer
r00842	Dev Evangelist/Advocate
r00842	Back-end Developer
r00842	Front-end Developer
r00843	One-person shop
r00843	Front-end Developer
r00843	Back-end Developer
r00844	Supervisor/Team Lead
r00844	Back-end Developer
r00844	Front-end Developer
r00845	Back-end Developer
r00846	Support
r00847	Back-end Developer
r00848	Supervisor/Team Lead
r00848	Back-end Developer
r00848	Front-end Developer
r00849	One-person shop
r00850	One-person shop
r00850	Designer
r00850	Front-end Developer
r00850	Back-end Developer
r00850	Sales
r00850	Support
r00851	Supervisor/Team Lead
r00851	Dev Evangelist/Advocate
r00851	DevOps/SysAdmin
r00851	Support
r00851	Back-end Developer
r00851	Designer
r00851	Front-end Developer
r00852	Support
r00853	Designer
r00854	Support
r00855	DevOps/SysAdmin
r00856	One-person shop
r00857	Supervisor/Team Lead
r00857	Sales
r00858	Front-end Developer
r00859	Back-end Developer
r00859	Front-end Developer
r00859	Designer
r00860	Front-end Developer
r00861	Front-end Developer
r00862	DevOps/SysAdmin
r00862	Back-end Developer
r00862	Front-end Developer
r00862	Designer
r00863	Other
r00863	DevOps/SysAdmin
r00863	Support
r00863	Back-end Developer
r00864	Back-end Developer
r00865	Other
r00866	Supervisor/Team Lead
r00866	Back-end Developer
r00866	Support
r00866	DevOps/SysAdmin
r00867	One-person shop
r00867	Front-end Developer
r00868	Designer
r00869	Supervisor/Team Lead
r00869	Back-end Developer
r00869	Front-end Developer
r00870	Back-end Developer
r00871	Designer
r00872	Designer
r00873	Executive Leadership
r00874	DevOps/SysAdmin
r00874	Back-end Developer
r00875	Back-end Developer
r00875	Front-end Developer
r00876	Back-end Developer
r00876	Front-end Developer
r00877	DevOps/SysAdmin
r00878	Front-end Developer
r00879	DevOps/SysAdmin
r00879	Support
r00879	Back-end Developer
r00879	Front-end Developer
r00880	Support
r00880	Other
r00881	Supervisor/Team Lead
r00881	Back-end Developer
r00882	Support
r00882	Back-end Developer
r00882	Front-end Developer
r00883	Front-end Developer
r00884	Back-end Developer
r00885	Front-end Developer
r00885	Back-end Developer
r00886	Dev Evangelist/Advocate
r00886	One-person shop
r00886	Back-end Developer
r00886	Support
r00886	DevOps/SysAdmin
r00887	Other
r00887	One-person shop
r00888	Executive Leadership
r00888	Other
r00889	Supervisor/Team Lead
r00890	Back-end Developer
r00891	One-person shop
r00891	Designer
r00891	Front-end Developer
r00891	Back-end Developer
r00891	Support
r00891	DevOps/SysAdmin
r00891	Other
r00892	Supervisor/Team Lead
r00893	Other
r00893	Dev Evangelist/Advocate
r00893	Support
r00894	Front-end Developer
r00894	Back-end Developer
r00895	Support
r00895	Designer
r00895	Front-end Developer
r00896	Designer
r00896	One-person shop
r00897	One-person shop
r00898	Other
r00898	Dev Evangelist/Advocate
r00898	Support
r00899	One-person shop
r00899	Back-end Developer
r00899	DevOps/SysAdmin
r00900	One-person shop
r00901	One-person shop
r00901	Other
r00902	DevOps/SysAdmin
r00903	Designer
r00903	Supervisor/Team Lead
r00904	DevOps/SysAdmin
r00904	Support
r00904	Back-end Developer
r00904	Front-end Developer
r00905	Other
r00906	Front-end Developer
r00907	Front-end Developer
r00907	Support
r00908	Other
r00909	One-person shop
r00909	Front-end Developer
r00909	Back-end Developer
r00909	DevOps/SysAdmin
r00910	Front-end Developer
r00911	Executive Leadership
r00911	Supervisor/Team Lead
r00911	DevOps/SysAdmin
r00911	Back-end Developer
r00911	Front-end Developer
r00911	One-person shop
r00912	Executive Leadership
r00913	Designer
r00914	One-person shop
r00914	Designer
r00914	Front-end Developer
r00915	DevOps/SysAdmin
r00915	Back-end Developer
r00915	Front-end Developer
r00916	Back-end Developer
r00917	Back-end Developer
r00918	Front-end Developer
r00919	Executive Leadership
r00920	Front-end Developer
r00921	Supervisor/Team Lead
r00921	Back-end Developer
r00922	One-person shop
r00923	Back-end Developer
r00924	Back-end Developer
r00925	Other
r00926	Other
r00927	Front-end Developer
r00927	Designer
r00928	Front-end Developer
r00929	Supervisor/Team Lead
r00929	DevOps/SysAdmin
r00929	Back-end Developer
r00930	DevOps/SysAdmin
r00930	Back-end Developer
r00930	Front-end Developer
r00930	Designer
r00931	Front-end Developer
r00931	Back-end Developer
r00931	Supervisor/Team Lead
r00932	Front-end Developer
r00932	Back-end Developer
r00932	Dev Evangelist/Advocate
r00933	Other
r00934	Back-end Developer
r00935	Executive Leadership
r00935	Supervisor/Team Lead
r00935	DevOps/SysAdmin
r00935	Support
r00935	Back-end Developer
r00935	Front-end Developer
r00936	Back-end Developer
r00937	Front-end Developer
r00937	Back-end Developer
r00937	Supervisor/Team Lead
r00937	Executive Leadership
r00938	Back-end Developer
r00938	Front-end Developer
r00939	Back-end Developer
r00940	Front-end Developer
r00940	Back-end Developer
r00940	Supervisor/Team Lead
r00941	Front-end Developer
r00941	Back-end Developer
r00942	Front-end Developer
r00943	Back-end Developer
r00943	DevOps/SysAdmin
r00944	Front-end Developer
r00944	Designer
r00945	Other
r00946	Executive Leadership
r00946	Supervisor/Team Lead
r00946	Back-end Developer
r00946	Front-end Developer
r00946	Designer
r00947	Back-end Developer
r00948	Other
r00949	Back-end Developer
r00950	Front-end Developer
r00951	Front-end Developer
r00951	Back-end Developer
r00952	DevOps/SysAdmin
r00953	Other
r00954	Other
r00954	DevOps/SysAdmin
r00954	Back-end Developer
r00955	Front-end Developer
r00955	Back-end Developer
r00956	Supervisor/Team Lead
r00956	DevOps/SysAdmin
r00956	Front-end Developer
r00956	Back-end Developer
r00957	Supervisor/Team Lead
r00958	Supervisor/Team Lead
r00958	Back-end Developer
r00959	Other
r00959	Back-end Developer
r00959	Supervisor/Team Lead
r00960	Supervisor/Team Lead
r00961	Back-end Developer
r00962	Front-end Developer
r00962	Back-end Developer
r00962	DevOps/SysAdmin
r00962	Supervisor/Team Lead
r00962	Executive Leadership
r00963	Supervisor/Team Lead
r00964	Front-end Developer
r00964	Designer
r00965	Front-end Developer
r00965	Back-end Developer
r00965	DevOps/SysAdmin
r00965	Supervisor/Team Lead
r00966	Back-end Developer
r00967	DevOps/SysAdmin
r00967	Back-end Developer
r00968	Supervisor/Team Lead
r00968	Support
r00968	Back-end Developer
r00969	Supervisor/Team Lead
r00970	Back-end Developer
r00970	Front-end Developer
r00971	DevOps/SysAdmin
r00972	Support
r00972	Back-end Developer
r00973	Back-end Developer
r00974	Supervisor/Team Lead
r00975	Supervisor/Team Lead
r00975	Back-end Developer
r00976	DevOps/SysAdmin
r00977	Supervisor/Team Lead
r00977	Back-end Developer
r00978	Supervisor/Team Lead
r00979	Front-end Developer
r00980	Back-end Developer
r00980	Front-end Developer
r00981	Back-end Developer
r00982	Front-end Developer
r00983	Back-end Developer
r00984	Support
r00984	DevOps/SysAdmin
r00985	Front-end Developer
r00985	Back-end Developer
r00985	DevOps/SysAdmin
r00986	Sales
r00986	Support
r00986	DevOps/SysAdmin
r00986	Executive Leadership
r00987	Supervisor/Team Lead
r00987	Back-end Developer
r00987	Front-end Developer
r00988	Executive Leadership
r00988	Back-end Developer
r00988	Front-end Developer
r00989	Back-end Developer
r00990	Back-end Developer
r00990	Front-end Developer
r00991	Front-end Developer
r00992	Other
r00993	Back-end Developer
r00994	DevOps/SysAdmin
r00994	Support
r00994	Front-end Developer
r00994	Back-end Developer
r00995	Back-end Developer
r00996	Supervisor/Team Lead
r00997	Designer
r00998	Back-end Developer
r00999	Back-end Developer
r01000	One-person shop
r01000	Back-end Developer
r01000	Dev Evangelist/Advocate
r01001	Front-end Developer
r01001	Back-end Developer
r01002	Other
r01003	Supervisor/Team Lead
r01003	Dev Evangelist/Advocate
r01003	Back-end Developer
r01003	Designer
r01003	Front-end Developer
r01004	Supervisor/Team Lead
r01004	Front-end Developer
r01005	One-person shop
r01006	Front-end Developer
r01007	Supervisor/Team Lead
r01007	Support
r01007	Front-end Developer
r01007	Back-end Developer
r01008	Other
r01009	Front-end Developer
r01010	Front-end Developer
r01010	Executive Leadership
r01011	Back-end Developer
r01012	Back-end Developer
r01013	Back-end Developer
r01013	Front-end Developer
r01014	Other
r01014	Dev Evangelist/Advocate
r01015	Back-end Developer
r01015	Supervisor/Team Lead
r01015	Other
r01016	Back-end Developer
r01016	Front-end Developer
r01016	Designer
r01017	Supervisor/Team Lead
r01018	Front-end Developer
r01018	Back-end Developer
r01018	Dev Evangelist/Advocate
r01018	Supervisor/Team Lead
r01019	One-person shop
r01020	Other
r01020	Support
r01021	Supervisor/Team Lead
r01022	Other
r01023	Other
r01024	Back-end Developer
r01025	Front-end Developer
r01026	Executive Leadership
r01027	DevOps/SysAdmin
r01027	Dev Evangelist/Advocate
r01027	Supervisor/Team Lead
r01027	Executive Leadership
r01028	Front-end Developer
r01028	Back-end Developer
r01028	Support
r01028	DevOps/SysAdmin
r01028	Executive Leadership
r01029	DevOps/SysAdmin
r01030	Supervisor/Team Lead
r01031	Back-end Developer
r01032	Other
r01032	Supervisor/Team Lead
r01032	Front-end Developer
r01033	Executive Leadership
r01034	Other
r01035	Other
r01035	Supervisor/Team Lead
r01036	DevOps/SysAdmin
r01036	Designer
r01037	DevOps/SysAdmin
r01038	Front-end Developer
r01038	One-person shop
r01039	Supervisor/Team Lead
r01040	Front-end Developer
r01040	Back-end Developer
r01041	One-person shop
r01042	Back-end Developer
r01042	Front-end Developer
r01043	DevOps/SysAdmin
r01044	Front-end Developer
r01045	Back-end Developer
r01046	Supervisor/Team Lead
r01047	One-person shop
r01048	Back-end Developer
r01049	Other
r01050	DevOps/SysAdmin
r01051	Back-end Developer
r01052	Designer
r01052	Front-end Developer
r01053	Supervisor/Team Lead
r01053	DevOps/SysAdmin
r01053	HR
r01054	Supervisor/Team Lead
r01055	DevOps/SysAdmin
r01055	Designer
r01055	Front-end Developer
r01055	Back-end Developer
r01056	DevOps/SysAdmin
r01057	Front-end Developer
r01057	Back-end Developer
r01057	DevOps/SysAdmin
r01058	Back-end Developer
r01059	DevOps/SysAdmin
r01060	One-person shop
r01060	Front-end Developer
r01060	Back-end Developer
r01060	DevOps/SysAdmin
r01061	Front-end Developer
r01062	Back-end Developer
r01063	Front-end Developer
r01063	Back-end Developer
r01063	Other
r01064	Other
r01065	Back-end Developer
r01066	One-person shop
r01067	Other
r01067	Dev Evangelist/Advocate
r01068	Back-end Developer
r01069	DevOps/SysAdmin
r01069	Supervisor/Team Lead
r01070	Front-end Developer
r01070	Back-end Developer
r01071	Back-end Developer
r01071	Front-end Developer
r01072	Support
r01072	Sales
r01072	Designer
r01073	Back-end Developer
r01074	One-person shop
r01075	Back-end Developer
r01076	Front-end Developer
r01076	Back-end Developer
r01076	Support
r01076	Other
r01077	Supervisor/Team Lead
r01077	DevOps/SysAdmin
r01077	Back-end Developer
r01077	Front-end Developer
r01078	DevOps/SysAdmin
r01079	Executive Leadership
r01080	DevOps/SysAdmin
r01080	Back-end Developer
r01081	Front-end Developer
r01082	Front-end Developer
r01083	Back-end Developer
r01084	Back-end Developer
r01085	Back-end Developer
r01085	Front-end Developer
r01086	One-person shop
r01086	Designer
r01086	Front-end Developer
r01087	Other
r01087	Back-end Developer
r01088	One-person shop
r01088	Designer
r01088	Front-end Developer
r01089	Executive Leadership
r01090	Other
r01091	Dev Evangelist/Advocate
r01092	Other
r01093	Executive Leadership
r01093	Supervisor/Team Lead
r01093	Support
r01093	Sales
r01093	Designer
r01093	Front-end Developer
r01093	Back-end Developer
r01094	Other
r01094	Supervisor/Team Lead
r01094	DevOps/SysAdmin
r01094	Back-end Developer
r01094	Support
r01095	Other
r01095	Front-end Developer
r01095	Designer
r01095	One-person shop
r01096	Supervisor/Team Lead
r01096	Executive Leadership
r01097	Designer
r01098	Designer
r01099	Front-end Developer
r01100	Back-end Developer
r01100	Front-end Developer
r01101	Support
r01102	Other
r01103	DevOps/SysAdmin
r01104	Front-end Developer
r01104	Designer
r01104	One-person shop
r01105	Front-end Developer
r01106	Other
r01107	DevOps/SysAdmin
r01107	Support
r01107	Sales
r01107	Front-end Developer
r01107	Designer
r01107	One-person shop
r01108	DevOps/SysAdmin
r01108	Back-end Developer
r01108	Front-end Developer
r01108	One-person shop
r01109	Supervisor/Team Lead
r01109	Front-end Developer
r01109	Back-end Developer
r01109	Support
r01109	DevOps/SysAdmin
r01110	Back-end Developer
r01111	Other
r01111	Supervisor/Team Lead
r01111	Dev Evangelist/Advocate
r01111	DevOps/SysAdmin
r01111	Support
r01111	Back-end Developer
r01111	Front-end Developer
r01111	One-person shop
r01112	Front-end Developer
r01112	Back-end Developer
r01113	Back-end Developer
r01114	Back-end Developer
r01115	Supervisor/Team Lead
r01115	Back-end Developer
r01115	Front-end Developer
r01116	Front-end Developer
r01116	Back-end Developer
r01117	Support
r01117	Back-end Developer
r01118	Back-end Developer
r01119	Other
r01120	Supervisor/Team Lead
r01121	Supervisor/Team Lead
r01122	Back-end Developer
r01123	Front-end Developer
r01123	Back-end Developer
r01124	Executive Leadership
r01125	Designer
r01126	Executive Leadership
r01127	Supervisor/Team Lead
r01127	Back-end Developer
r01127	Front-end Developer
r01128	Other
r01129	DevOps/SysAdmin
r01130	Back-end Developer
r01131	Front-end Developer
r01131	Designer
r01132	Back-end Developer
r01133	Other
r01134	Front-end Developer
r01135	Support
r01136	Front-end Developer
r01137	Front-end Developer
r01138	Other
r01138	Supervisor/Team Lead
r01139	Back-end Developer
r01139	Dev Evangelist/Advocate
r01140	Other
r01140	One-person shop
r01140	Designer
r01140	Front-end Developer
r01140	Back-end Developer
r01140	Support
r01140	Supervisor/Team Lead
r01141	Back-end Developer
r01141	Front-end Developer
r01142	Dev Evangelist/Advocate
r01143	Back-end Developer
r01144	Supervisor/Team Lead
r01144	Support
r01144	Back-end Developer
r01144	Front-end Developer
r01145	Supervisor/Team Lead
r01145	Back-end Developer
r01145	Front-end Developer
r01145	Designer
r01146	Front-end Developer
r01146	Back-end Developer
r01147	Back-end Developer
r01148	Supervisor/Team Lead
r01148	DevOps/SysAdmin
r01148	Back-end Developer
r01149	Other
r01150	Dev Evangelist/Advocate
r01150	DevOps/SysAdmin
r01150	Back-end Developer
r01151	Back-end Developer
r01152	DevOps/SysAdmin
r01152	Support
r01152	Back-end Developer
r01153	Back-end Developer
r01154	Front-end Developer
r01154	Back-end Developer
r01155	DevOps/SysAdmin
r01155	Back-end Developer
r01155	Front-end Developer
r01156	Other
r01157	Back-end Developer
r01157	Front-end Developer
r01158	Back-end Developer
r01159	DevOps/SysAdmin
r01159	Support
r01159	Back-end Developer
r01160	Supervisor/Team Lead
r01160	DevOps/SysAdmin
r01160	Support
r01161	Other
r01161	Supervisor/Team Lead
r01161	DevOps/SysAdmin
r01161	Support
r01161	Front-end Developer
r01161	Back-end Developer
r01162	Supervisor/Team Lead
r01163	Other
r01164	Dev Evangelist/Advocate
r01165	Back-end Developer
r01165	Front-end Developer
r01166	Other
r01167	Other
r01168	Executive Leadership
r01169	Supervisor/Team Lead
r01169	DevOps/SysAdmin
r01169	Back-end Developer
r01169	Front-end Developer
r01170	Supervisor/Team Lead
r01170	Back-end Developer
r01170	DevOps/SysAdmin
r01171	Front-end Developer
r01172	Back-end Developer
r01173	Back-end Developer
r01173	Support
r01173	Supervisor/Team Lead
r01174	Back-end Developer
r01174	One-person shop
r01175	Back-end Developer
r01175	Front-end Developer
r01176	Front-end Developer
r01176	Back-end Developer
r01176	DevOps/SysAdmin
r01177	Dev Evangelist/Advocate
r01178	Back-end Developer
r01179	Supervisor/Team Lead
r01179	Front-end Developer
r01180	One-person shop
r01181	Back-end Developer
r01182	Designer
r01182	Front-end Developer
r01182	Back-end Developer
r01182	Supervisor/Team Lead
r01183	Back-end Developer
r01183	One-person shop
r01184	Back-end Developer
r01185	Dev Evangelist/Advocate
r01186	Back-end Developer
r01186	Front-end Developer
r01187	DevOps/SysAdmin
r01187	Support
r01188	Back-end Developer
r01189	One-person shop
r01190	Front-end Developer
r01190	Back-end Developer
r01191	Support
r01191	Back-end Developer
r01191	Front-end Developer
r01192	Other
r01193	DevOps/SysAdmin
r01193	Back-end Developer
r01193	Front-end Developer
r01194	Other
r01194	Back-end Developer
r01194	Front-end Developer
r01194	Designer
r01195	Back-end Developer
r01196	Front-end Developer
r01197	One-person shop
r01197	Front-end Developer
r01197	Back-end Developer
r01198	Front-end Developer
r01198	Designer
r01199	DevOps/SysAdmin
r01200	Front-end Developer
r01201	Supervisor/Team Lead
r01202	Front-end Developer
r01203	Back-end Developer
r01203	DevOps/SysAdmin
r01204	DevOps/SysAdmin
r01204	Back-end Developer
r01204	Front-end Developer
r01205	Supervisor/Team Lead
r01206	Supervisor/Team Lead
r01206	Designer
r01207	Back-end Developer
r01207	Front-end Developer
r01208	Front-end Developer
r01209	Supervisor/Team Lead
r01209	Back-end Developer
r01209	Front-end Developer
r01210	Back-end Developer
r01211	DevOps/SysAdmin
r01211	Back-end Developer
r01211	Front-end Developer
r01212	Back-end Developer
r01213	Back-end Developer
r01214	Front-end Developer
r01214	Back-end Developer
r01215	Support
r01215	Back-end Developer
r01215	Front-end Developer
r01215	One-person shop
r01216	Front-end Developer
r01217	Supervisor/Team Lead
r01218	Front-end Developer
r01219	Executive Leadership
r01220	Executive Leadership
r01221	Dev Evangelist/Advocate
r01221	Back-end Developer
r01222	Back-end Developer
r01223	Back-end Developer
r01224	Back-end Developer
r01225	Back-end Developer
r01225	Front-end Developer
r01226	Back-end Developer
r01227	Front-end Developer
r01227	Designer
r01228	Back-end Developer
r01229	One-person shop
r01230	Back-end Developer
r01231	Executive Leadership
r01232	Back-end Developer
r01232	Supervisor/Team Lead
r01233	Dev Evangelist/Advocate
r01234	Supervisor/Team Lead
r01234	Back-end Developer
r01234	Front-end Developer
r01235	Front-end Developer
